-231322140672,279429251072,361753313280,478074535936,-288113065984,101764513792,-728326209536,-79109038080
924134848,61604237312,-236504268800,-416212090880,30765142016,151003054080,-72343781376,-66007990272
157209198592,-53277458432,828659335168,251672756224,384854982656,-47436500992,-572657631232,-16339606528
-158082727936,-46234787840,368364257280,309499625472,-399800139776,-1273296256,40794083328,-99443900416
-7521775910912,-11207402586112,-1541054529536,4913722032128,-8410274725888,8092026667008,965309235200,2373967151104
-2354071470080,-1786653966336,1282739404800,7743920930816,-1642150625280,-2306666135552,-1855571886080,2685524770816
-2742462709760,2838011576320,16707201531904,-10187756797952,-536902467584,697245892608,1128307752960,4129333968896
-1253906841600,2473014853632,-185239896064,4323994501120,1419757486080,2237474013184,4183338778624,3130017972224
-6353526456320,2646297804800,-8387669000192,11434365812736,-1421088260096,-2284860735488,840527052800,-2749467983872
-2861303332864,-2587694465024,3986653184000,-4863577030656,1081445384192,-365238288384,-564291108864,2211714695168
-5453351223296,2906431946752,2471501234176,2571370496000,-521250635776,517879398400,1687972741120,-3558192185344
-3915897372672,-930014887936,-2088638087168,6532513660928,-1138486935552,-923626700800,5095472758784,827190476800
