-40543,-16067,28605,23206
-40078,-16038,28432,23018
-39615,-16009,28259,22830
-39149,-15980,28086,22642
-38684,-15951,27911,22455
-40078,-16038,28432,23018
-39615,-16009,28259,22830
-39149,-15980,28086,22642
-38684,-15951,27911,22455
-38220,-15921,27733,22268
-39615,-16009,28259,22830
-39149,-15980,28086,22642
-38684,-15951,27911,22455
-38220,-15921,27733,22268
-37754,-15890,27555,22081
-39149,-15980,28086,22642
-38684,-15951,27911,22455
-38220,-15921,27733,22268
-37754,-15890,27555,22081
-37289,-15860,27373,21893
-38684,-15951,27911,22455
-38220,-15921,27733,22268
-37754,-15890,27555,22081
-37289,-15860,27373,21893
-36827,-15828,27189,21705
-38220,-15921,27733,22268
-37754,-15890,27555,22081
-37289,-15860,27373,21893
-36827,-15828,27189,21705
-36365,-15798,27000,21515
-37754,-15890,27555,22081
-37289,-15860,27373,21893
-36827,-15828,27189,21705
-36365,-15798,27000,21515
-35907,-15765,26808,21325
-37289,-15860,27373,21893
-36827,-15828,27189,21705
-36365,-15798,27000,21515
-35907,-15765,26808,21325
-35451,-15734,26612,21131
-36827,-15828,27189,21705
-36365,-15798,27000,21515
-35907,-15765,26808,21325
-35451,-15734,26612,21131
-34998,-15701,26411,20937
-36365,-15798,27000,21515
-35907,-15765,26808,21325
-35451,-15734,26612,21131
-34998,-15701,26411,20937
-34548,-15668,26202,20739
-35907,-15765,26808,21325
-35451,-15734,26612,21131
-34998,-15701,26411,20937
-34548,-15668,26202,20739
-34101,-15634,25990,20538
-35451,-15734,26612,21131
-34998,-15701,26411,20937
-34548,-15668,26202,20739
-34101,-15634,25990,20538
-33658,-15601,25769,20332
-34998,-15701,26411,20937
-34548,-15668,26202,20739
-34101,-15634,25990,20538
-33658,-15601,25769,20332
-33217,-15567,25541,20125
-34548,-15668,26202,20739
-34101,-15634,25990,20538
-33658,-15601,25769,20332
-33217,-15567,25541,20125
-32779,-15532,25307,19913
-34101,-15634,25990,20538
-33658,-15601,25769,20332
-33217,-15567,25541,20125
-32779,-15532,25307,19913
-32342,-15496,25064,19700
-33658,-15601,25769,20332
-33217,-15567,25541,20125
-32779,-15532,25307,19913
-32342,-15496,25064,19700
-31908,-15461,24813,19480
-33217,-15567,25541,20125
-32779,-15532,25307,19913
-32342,-15496,25064,19700
-31908,-15461,24813,19480
-31472,-15424,24555,19259
-32779,-15532,25307,19913
-32342,-15496,25064,19700
-31908,-15461,24813,19480
-31472,-15424,24555,19259
-31037,-15388,24288,19034
-32342,-15496,25064,19700
-31908,-15461,24813,19480
-31472,-15424,24555,19259
-31037,-15388,24288,19034
-30600,-15350,24012,18807
-31908,-15461,24813,19480
-31472,-15424,24555,19259
-31037,-15388,24288,19034
-30600,-15350,24012,18807
-30162,-15312,23730,18577
-31472,-15424,24555,19259
-31037,-15388,24288,19034
-30600,-15350,24012,18807
-30162,-15312,23730,18577
-29721,-15273,23440,18344
-31037,-15388,24288,19034
-30600,-15350,24012,18807
-30162,-15312,23730,18577
-29721,-15273,23440,18344
-29278,-15232,23143,18109
-30600,-15350,24012,18807
-30162,-15312,23730,18577
-29721,-15273,23440,18344
-29278,-15232,23143,18109
-28832,-15192,22840,17870
-30162,-15312,23730,18577
