421860278272,2652009660416,1860812537856,334016151552,334981464064,408925241344
20143867904,2608215359488,1840117972992,348258729984,340570800128,384958267392
93649747968,-1509134303232,959662194688,-54721544192,-59780550656,-12657477632
-107659837440,765607346176,-557271416832,852023377920,1124306124800,2779556085760
-161176993792,2668557500416,1879750868992,347953987584,350155112448,390401687552
-10472298496,-1610457415680,1051660582912,-28359133184,-6585895424,23540072448
-309230632960,2505120153600,1779452608512,315504525312,316270346240,372515504128
479334924288,-1245396074496,818532843520,-10330000384,-14016093184,485585216
59316576256,1126774341632,-735141298176,223669872,11214794752,-8663104512
179949404160,-2637962936320,-1844793835520,-339406389248,-343360733184,-398291337216
322148663296,2486564028416,1756806905856,326146883584,334316109824,374257713152
-201360146432,-1138936643584,740798169088,-25188081664,-14820970496,16813826048
22121070592,1396877164544,-911042347008,24992212992,24022063104,-4081375488
-446871535616,2638829846528,1853396090880,358564265984,367524839424,398659649536
-296182087680,2848790413312,2006706290688,380397322240,381836066816,422383616000
-27536273408,-2606776188928,-1814845063168,-341446656000,-317372989440,-391339409408
